1444040223 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444044135 252058 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444051442 252070 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444053403 254396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444121766 254534 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444122335 254554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444122533 254803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444123228 254813 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444125418 254941 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444127560 255149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444128010 255152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444128095 262606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444133618 262606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444134213 262606 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444142115 262705 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444209339 263112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444210172 263117 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444217231 263289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444233977 263397 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444310133 263513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444386666 265163 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444391437 265600 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444400984 265667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444404297 265713 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444661830 266065 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444728271 266266 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444748497 266269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444817214 266457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1444820066 266457 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444825432 266640 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444828227 266914 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444833473 267290 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444833532 267290 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444895458 267528 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444922285 267708 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444978664 267770 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444979287 267770 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444987912 268071 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444999121 268071 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1444999333 268071 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1445006888 268188 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1445008187 268200 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 0 0 0 0
1445248031 268200 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445249944 268381 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445253579 268422 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445255320 268437 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445262833 268500 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445268991 268585 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445329766 268592 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445335106 268673 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445339028 268744 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445341096 268744 0 0 0 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0
1445348822 268744 0 0 0 0 0 0 0 360 0 0 0 0 0 0 0 0 0 0 0
1445349369 268744 0 0 0 1 0 0 0 360 0 0 0 0 0 0 0 0 0 0 0
1445417595 268744 0 0 0 1 0 0 0 371 0 0 0 0 0 0 0 0 0 0 0
1445419594 268999 0 0 0 1 0 0 0 371 0 0 0 0 0 0 0 0 0 0 0
1445420185 268999 0 0 0 1 0 0 0 389 0 0 0 0 0 0 0 0 0 0 0
1445421582 268999 0 0 0 1 0 0 0 408 0 0 0 0 0 0 0 0 0 0 0
1445423541 269048 0 0 0 1 0 0 0 408 0 0 0 0 0 0 0 0 0 0 0
1445425957 269048 0 0 0 1 0 0 0 412 0 0 0 0 0 0 0 0 0 0 0
